TFT Id-Vg,OTFT Id-Vg
RecordTime,01/23/2019 21:58:44
Device ID,
Count,4
Flag,
Remarks,
Vgate,Vdrain,Idrain,IdrainPerWg,gm,gmPerWg
-10,5,7.826E-11,5.21733333333333E-13,-7.89E-12,-5.25999999999999E-14
-9,5,7.037E-11,4.69133333333333E-13,-6.9149999999999995E-12,-4.61E-14
-8,5,6.4429999999999991E-11,4.29533333333333E-13,-1.0015E-11,-6.67666666666667E-14
-7,5,5.034E-11,3.356E-13,-4.025E-12,-2.68333333333333E-14
-6,5,5.638E-11,3.75866666666667E-13,-5.0500000000000209E-13,-3.3666666666667003E-15
-5,5,4.9329999999999993E-11,3.28866666666667E-13,-1.108E-11,-7.386666666666659E-14
-4,5,3.422E-11,2.28133333333333E-13,-1.602E-11,-1.0680000000000001E-13
-3,5,1.729E-11,1.15266666666667E-13,4.3799999999999995E-12,2.92E-14
-2,5,4.2979999999999997E-11,2.8653333333333303E-13,-1.2175E-11,-8.11666666666666E-14
-1,5,-7.0599999999999994E-12,-4.70666666666666E-14,-3.807E-11,-2.538E-13
0,5,-3.316E-11,-2.2106666666666703E-13,-1.92E-12,-1.28E-14
1,5,-1.0900000000000001E-11,-7.26666666666667E-14,1.4745E-11,9.83E-14
2,5,-3.6699999999999995E-12,-2.4466666666666698E-14,4.595E-12,3.06333333333333E-14
3,5,-1.71E-12,-1.1399999999999999E-14,1.1000000000000002E-12,7.3333333333333315E-15
4,5,-1.47E-12,-9.8000000000000015E-15,-1.83E-12,-1.22E-14
5,5,-5.37E-12,-3.58E-14,-7.25E-13,-4.83333333333333E-15
6,5,-2.9199999999999997E-12,-1.94666666666667E-14,1.215E-12,8.1E-15
7,5,-2.94E-12,-1.96E-14,1.36E-12,9.06666666666666E-15
8,5,-2E-13,-1.33333333333333E-15,6.0000000000000007E-13,4E-15
9,5,-1.7399999999999999E-12,-1.1599999999999999E-14,-2.195E-12,-1.46333333333333E-14
10,5,-4.59E-12,-3.0600000000000003E-14,-1.81E-12,-1.2066666666666701E-14
11,5,-5.3600000000000006E-12,-3.5733333333333304E-14,-5.65E-13,-3.7666666666666705E-15
12,5,-5.72E-12,-3.81333333333333E-14,1E-13,6.66666666666669E-16
13,5,-5.16E-12,-3.44E-14,-2.955E-12,-1.97E-14
14,5,-1.163E-11,-7.75333333333333E-14,-5.775E-12,-3.85E-14
15,5,-1.671E-11,-1.1140000000000001E-13,-2.95E-12,-1.9666666666666598E-14
16,5,-1.7529999999999997E-11,-1.16866666666667E-13,7.0500000000000093E-13,4.70000000000001E-15
17,5,-1.5299999999999998E-11,-1.0200000000000001E-13,-3.0550000000000002E-12,-2.03666666666667E-14
18,5,-2.364E-11,-1.576E-13,-6.54E-12,-4.3600000000000005E-14
19,5,-2.838E-11,-1.892E-13,-6.6399999999999992E-12,-4.42666666666667E-14
20,5,-3.692E-11,-2.46133333333333E-13,4.0739999999999993E-11,2.716E-13
21,5,5.309999999999999E-11,3.54E-13,9.8054999999999991E-11,6.537E-13
22,5,1.5919000000000002E-10,1.06126666666667E-12,1.1365000000000002E-10,7.57666666666666E-13
23,5,2.804E-10,1.86933333333333E-12,1.2001E-10,8.000666666666661E-13
24,5,3.9921E-10,2.6614E-12,1.6879E-10,1.12526666666667E-12
25,5,6.1798000000000007E-10,4.11986666666667E-12,1.94055E-10,1.2937E-12
26,5,7.8732E-10,5.2488E-12,1.81045E-10,1.20696666666667E-12
27,5,9.8007000000000011E-10,6.5338E-12,2.14525E-10,1.43016666666667E-12
28,5,1.21637E-09,8.10913333333333E-12,2.15765E-10,1.43843333333333E-12
29,5,1.4116E-09,9.41066666666667E-12,2.6564E-10,1.7709333333333298E-12
30,5,1.74765E-09,1.1651E-11,5.2724500000000008E-10,3.51496666666667E-12
31,5,2.46609E-09,1.64406E-11,6.36525E-10,4.2435E-12
32,5,3.0207000000000005E-09,2.0137999999999997E-11,7.7828E-10,5.18853333333333E-12
33,5,4.02265E-09,2.6817666666666697E-11,1.0510750000000001E-09,7.00716666666666E-12
34,5,5.12285E-09,3.41523333333333E-11,1.3870400000000002E-09,9.246933333333339E-12
35,5,6.79673E-09,4.5311533333333291E-11,1.816525E-09,1.2110166666666699E-11
36,5,8.7559E-09,5.83726666666667E-11,1.629635E-09,1.0864233333333299E-11
37,5,1.0056000000000001E-08,6.704E-11,1.80505E-09,1.20336666666667E-11
38,5,1.2366E-08,8.2439999999999989E-11,2.163E-09,1.4419999999999999E-11
39,5,1.4382E-08,9.5879999999999983E-11,2.3050000000000002E-09,1.5366666666666698E-11
40,5,1.6976E-08,1.1317333333333299E-10,2.594E-09,1.72933333333333E-11
-10,9,1.1696E-10,7.79733333333333E-13,-6.24E-12,-4.16E-14
-9,9,1.1072E-10,7.38133333333333E-13,-9.05000000000001E-12,-6.0333333333333409E-14
-8,9,9.8859999999999982E-11,6.5906666666666609E-13,-1.1759999999999998E-11,-7.84E-14
-7,9,8.7200000000000006E-11,5.81333333333333E-13,-1.0059999999999999E-11,-6.70666666666666E-14
-6,9,7.8739999999999991E-11,5.24933333333333E-13,-6.79E-12,-4.52666666666667E-14
-5,9,7.362E-11,4.9080000000000009E-13,-6.17E-12,-4.11333333333333E-14
-4,9,6.64E-11,4.4266666666666704E-13,-8.15E-12,-5.43333333333333E-14
-3,9,5.7319999999999996E-11,3.82133333333333E-13,-9.34E-12,-6.22666666666667E-14
-2,9,4.772E-11,3.1813333333333296E-13,-9.4E-12,-6.26666666666667E-14
-1,9,3.8519999999999993E-11,2.5680000000000003E-13,-7.095E-12,-4.7300000000000004E-14
0,9,3.353E-11,2.2353333333333302E-13,-1.1964999999999998E-11,-7.9766666666666608E-14
1,9,1.459E-11,9.72666666666667E-14,-1.8765E-11,-1.251E-13
2,9,-4E-12,-2.66666666666667E-14,-1.5089999999999996E-11,-1.0060000000000001E-13
3,9,-1.5589999999999998E-11,-1.0393333333333299E-13,-5.0949999999999996E-12,-3.39666666666667E-14
4,9,-1.419E-11,-9.4600000000000008E-14,5.42E-12,3.61333333333333E-14
5,9,-4.75E-12,-3.16666666666667E-14,5.075E-12,3.38333333333333E-14
6,9,-4.04E-12,-2.6933333333333297E-14,-4.3E-13,-2.86666666666667E-15
7,9,-5.6100000000000005E-12,-3.7400000000000003E-14,-5.8E-13,-3.86666666666667E-15
8,9,-5.2000000000000005E-12,-3.46666666666667E-14,1.93E-12,1.28666666666667E-14
9,9,-1.75E-12,-1.1666666666666701E-14,2.265E-12,1.51E-14
10,9,-6.7000000000000007E-13,-4.4666666666666709E-15,2.7999999999999997E-13,1.86666666666667E-15
11,9,-1.19E-12,-7.93333333333333E-15,-1.2849999999999999E-12,-8.56666666666667E-15
12,9,-3.2400000000000003E-12,-2.16E-14,-1.0049999999999999E-12,-6.7000000000000008E-15
13,9,-3.2E-12,-2.1333333333333303E-14,9.2E-13,6.133333333333331E-15
14,9,-1.3999999999999999E-12,-9.3333333333333309E-15,4.05E-13,2.7000000000000005E-15
15,9,-2.39E-12,-1.59333333333333E-14,-2.175E-12,-1.4499999999999998E-14
16,9,-5.7499999999999995E-12,-3.83333333333333E-14,-1.81E-12,-1.2066666666666701E-14
17,9,-6.01E-12,-4.0066666666666705E-14,3.015E-12,2.0099999999999998E-14
18,9,2.7999999999999997E-13,1.86666666666667E-15,1.4499999999999999E-12,9.66666666666666E-15
19,9,-3.11E-12,-2.07333333333333E-14,1.4254999999999999E-11,9.50333333333333E-14
20,9,2.8789999999999998E-11,1.91933333333333E-13,1.34775E-10,8.985E-13
21,9,2.6644E-10,1.7762666666666699E-12,1.99285E-10,1.32856666666667E-12
22,9,4.2736E-10,2.84906666666667E-12,1.881E-10,1.254E-12
23,9,6.4264000000000007E-10,4.28426666666667E-12,2.90775E-10,1.9385E-12
24,9,1.00891E-09,6.72606666666666E-12,4.5274000000000003E-10,3.01826666666667E-12
25,9,1.54812E-09,1.0320800000000001E-11,6.2797000000000006E-10,4.18646666666667E-12
26,9,2.26485E-09,1.5099E-11,8.4571000000000007E-10,5.63806666666667E-12
27,9,3.23954E-09,2.15969333333333E-11,1.16834E-09,7.78893333333333E-12
28,9,4.60153E-09,3.06768666666667E-11,1.6516800000000002E-09,1.10112E-11
29,9,6.5429000000000006E-09,4.36193333333333E-11,2.494185E-09,1.6627899999999998E-11
30,9,9.5899000000000014E-09,6.39326666666667E-11,3.37695E-09,2.2512999999999998E-11
31,9,1.32968E-08,8.86453333333333E-11,4.23225E-09,2.8214999999999996E-11
32,9,1.80544E-08,1.20362666666667E-10,5.2713E-09,3.5142E-11
33,9,2.38394E-08,1.58929333333333E-10,6.6892E-09,4.4594666666666593E-11
34,9,3.14328E-08,2.09552E-10,7.1735000000000005E-09,4.78233333333333E-11
35,9,3.81864E-08,2.5457600000000003E-10,8.09765E-09,5.39843333333334E-11
36,9,4.76281E-08,3.17520666666667E-10,1.00902E-08,6.7268E-11
37,9,5.8366800000000005E-08,3.8911200000000003E-10,1.112185E-08,7.41456666666667E-11
38,9,6.9871800000000008E-08,4.6581200000000009E-10,1.23769E-08,8.2512666666666689E-11
39,9,8.3120600000000012E-08,5.54137333333333E-10,1.38185E-08,9.21233333333333E-11
40,9,9.75088E-08,6.50058666666667E-10,1.43882E-08,9.5921333333333292E-11
-10,13,1.485E-10,9.9E-13,-3.721E-11,-2.4806666666666704E-13
-9,13,1.1129E-10,7.41933333333333E-13,-6.16000000000001E-12,-4.10666666666667E-14
-8,13,1.3618E-10,9.07866666666666E-13,5.95000000000001E-12,3.96666666666667E-14
-7,13,1.2319000000000002E-10,8.21266666666666E-13,-1.1825E-11,-7.88333333333333E-14
-6,13,1.1253E-10,7.502E-13,-8.35500000000001E-12,-5.5700000000000005E-14
-5,13,1.0648E-10,7.09866666666667E-13,-7.255E-12,-4.8366666666666692E-14
-4,13,9.8019999999999988E-11,6.53466666666666E-13,-6.65E-12,-4.4333333333333395E-14
-3,13,9.318E-11,6.212E-13,-7.93E-12,-5.28666666666666E-14
-2,13,8.2159999999999991E-11,5.47733333333333E-13,-1.0669999999999999E-11,-7.11333333333333E-14
-1,13,7.184E-11,4.78933333333333E-13,-5.98E-12,-3.98666666666667E-14
0,13,7.0199999999999988E-11,4.68E-13,-6.5099999999999995E-12,-4.3399999999999997E-14
1,13,5.882E-11,3.92133333333333E-13,-1.0800000000000001E-11,-7.2E-14
2,13,4.86E-11,3.2400000000000003E-13,-9.84E-12,-6.5599999999999993E-14
3,13,3.914E-11,2.60933333333333E-13,-1.153E-11,-7.68666666666667E-14
4,13,2.5539999999999997E-11,1.70266666666667E-13,-1.4025E-11,-9.3499999999999993E-14
5,13,1.1089999999999999E-11,7.39333333333333E-14,-1.7105E-11,-1.14033333333333E-13
6,13,-8.67E-12,-5.78E-14,-1.2735E-11,-8.49E-14
7,13,-1.4379999999999998E-11,-9.586666666666661E-14,-2.705E-12,-1.8033333333333298E-14
8,13,-1.4079999999999998E-11,-9.3866666666666593E-14,1.61E-12,1.0733333333333298E-14
9,13,-1.116E-11,-7.44E-14,4.85E-12,3.23333333333333E-14
10,13,-4.3799999999999995E-12,-2.92E-14,4.6050000000000007E-12,3.07E-14
11,13,-1.95E-12,-1.3E-14,-1.395E-12,-9.300000000000002E-15
12,13,-7.1699999999999995E-12,-4.78E-14,-2.2000000000000002E-13,-1.46666666666667E-15
13,13,-2.39E-12,-1.59333333333333E-14,1.905E-12,1.27E-14
14,13,-3.36E-12,-2.24E-14,1.195E-12,7.9666666666666717E-15
15,13,0,0,4.535E-12,3.0233333333333296E-14
16,13,5.71E-12,3.80666666666667E-14,5.3E-13,3.5333333333333305E-15
17,13,1.0600000000000001E-12,7.0666666666666705E-15,-1.15E-13,-7.66666666666667E-16
18,13,5.48E-12,3.6533333333333304E-14,4.5195E-11,3.013E-13
19,13,9.1449999999999992E-11,6.09666666666666E-13,9.6475000000000008E-11,6.43166666666667E-13
20,13,1.9843E-10,1.32286666666667E-12,1.0546500000000001E-10,7.031E-13
21,13,3.0238E-10,2.01586666666667E-12,1.8395E-10,1.2263333333333299E-12
22,13,5.6632999999999995E-10,3.77553333333333E-12,3.10485E-10,2.0699E-12
23,13,9.2335E-10,6.1556666666666706E-12,3.9654E-10,2.6436E-12
24,13,1.3594100000000002E-09,9.06273333333333E-12,5.9221000000000007E-10,3.94806666666667E-12
25,13,2.10777E-09,1.40518E-11,8.8823500000000009E-10,5.92156666666666E-12
26,13,3.13588E-09,2.09058666666667E-11,1.22648E-09,8.17653333333334E-12
27,13,4.5607300000000011E-09,3.04048666666667E-11,1.87826E-09,1.2521733333333299E-11
28,13,6.8924000000000007E-09,4.59493333333333E-11,3.0364350000000004E-09,2.02429E-11
29,13,1.0633600000000001E-08,7.08906666666667E-11,3.9665E-09,2.6443333333333297E-11
30,13,1.48254E-08,9.8835999999999983E-11,4.9375E-09,3.29166666666667E-11
31,13,2.05086E-08,1.36724E-10,7.58665E-09,5.05776666666667E-11
32,13,2.99987E-08,1.9999133333333302E-10,9.7162500000000011E-09,6.4774999999999991E-11
33,13,3.99411E-08,2.66274E-10,1.1550549999999999E-08,7.70036666666667E-11
34,13,5.3099800000000008E-08,3.5399866666666705E-10,1.3814900000000001E-08,9.20993333333333E-11
35,13,6.75709E-08,4.50472666666667E-10,1.5432300000000002E-08,1.0288200000000002E-10
36,13,8.39644E-08,5.59762666666667E-10,1.8926650000000002E-08,1.2617766666666702E-10
37,13,1.0542419999999999E-07,7.02828E-10,2.2392300000000003E-08,1.4928200000000002E-10
38,13,1.2874899999999998E-07,8.58326666666666E-10,2.39909E-08,1.59939333333333E-10
39,13,1.53406E-07,1.02270666666667E-09,2.7598E-08,1.8398666666666702E-10
40,13,1.83945E-07,1.2263E-09,3.0539E-08,2.03593333333333E-10
-10,17,2.1282000000000002E-10,1.4188E-12,-1.0889999999999999E-11,-7.260000000000009E-14
-9,17,2.0193E-10,1.3462E-12,-1.4365E-11,-9.57666666666667E-14
-8,17,1.8409E-10,1.22726666666667E-12,-1.6825E-11,-1.1216666666666699E-13
-7,17,1.6828E-10,1.12186666666667E-12,-1.1999999999999999E-11,-8E-14
-6,17,1.6009E-10,1.06726666666667E-12,-8.775E-12,-5.84999999999999E-14
-5,17,1.5073E-10,1.00486666666667E-12,-1.01E-11,-6.73333333333333E-14
-4,17,1.3989000000000002E-10,9.326E-13,-9.68499999999999E-12,-6.45666666666667E-14
-3,17,1.3136000000000003E-10,8.75733333333333E-13,-8.53500000000001E-12,-5.69000000000001E-14
-2,17,1.2282E-10,8.1880000000000011E-13,-8.8050000000000183E-12,-5.8700000000000093E-14
-1,17,1.1375E-10,7.583333333333331E-13,-6.78499999999999E-12,-4.52333333333333E-14
0,17,1.0925000000000001E-10,7.28333333333333E-13,-3.9554999999999993E-11,-2.6370000000000003E-13
1,17,3.4639999999999996E-11,2.30933333333333E-13,-8.345E-12,-5.5633333333333395E-14
2,17,9.256E-11,6.17066666666667E-13,2.3795E-11,1.58633333333333E-13
3,17,8.223E-11,5.482E-13,-9.5550000000000109E-12,-6.37E-14
4,17,7.3449999999999989E-11,4.89666666666667E-13,-8.2599999999999991E-12,-5.50666666666666E-14
5,17,6.571E-11,4.3806666666666703E-13,-1.1049999999999998E-11,-7.36666666666666E-14
6,17,5.1349999999999996E-11,3.42333333333333E-13,-3.5695E-11,-2.37966666666667E-13
7,17,-5.6799999999999992E-12,-3.78666666666666E-14,-1.256E-11,-8.37333333333333E-14
8,17,2.623E-11,1.74866666666667E-13,8E-12,5.3333333333333306E-14
9,17,1.032E-11,6.88E-14,-1.6945E-11,-1.12966666666667E-13
10,17,-7.66E-12,-5.10666666666667E-14,-1.145E-11,-7.63333333333333E-14
11,17,-1.258E-11,-8.38666666666667E-14,-3.685E-12,-2.4566666666666702E-14
12,17,-1.503E-11,-1.002E-13,5.4E-13,3.6E-15
13,17,-1.1499999999999999E-11,-7.66666666666666E-14,1.4855E-11,9.9033333333333309E-14
14,17,1.4679999999999998E-11,9.78666666666666E-14,7.83E-12,5.2199999999999995E-14
15,17,4.16E-12,2.77333333333333E-14,-6.7649999999999995E-12,-4.51E-14
16,17,1.15E-12,7.66666666666666E-15,-1.845E-12,-1.23E-14
17,17,4.7E-13,3.1333333333333303E-15,-1.2669999999999998E-11,-8.44666666666666E-14
18,17,-2.419E-11,-1.6126666666666702E-13,4.1064999999999996E-11,2.7376666666666697E-13
19,17,8.2599999999999991E-11,5.5066666666666708E-13,9.769E-11,6.51266666666667E-13
20,17,1.7119E-10,1.14126666666667E-12,1.3211500000000001E-10,8.80766666666667E-13
21,17,3.4683000000000003E-10,2.3121999999999998E-12,2.2694000000000002E-10,1.51293333333333E-12
22,17,6.2507E-10,4.16713333333333E-12,3.2654999999999997E-10,2.177E-12
23,17,9.9993E-10,6.6662E-12,4.9105E-10,3.2736666666666697E-12
24,17,1.6071700000000002E-09,1.07144666666667E-11,7.071150000000001E-10,4.7141E-12
25,17,2.41416E-09,1.60944E-11,1.1135700000000001E-09,7.4238E-12
26,17,3.83431E-09,2.5562066666666697E-11,1.681735E-09,1.1211566666666698E-11
27,17,5.7776300000000009E-09,3.85175333333333E-11,2.124745E-09,1.41649666666667E-11
28,17,8.0838E-09,5.3891999999999992E-11,3.1010350000000003E-09,2.0673566666666698E-11
29,17,1.19797E-08,7.98646666666667E-11,4.4095500000000008E-09,2.9397000000000003E-11
30,17,1.69029E-08,1.12686E-10,6.38395E-09,4.25596666666667E-11
31,17,2.47476E-08,1.64984E-10,9.0723500000000008E-09,6.0482333333333292E-11
32,17,3.50476E-08,2.33650666666667E-10,1.18255E-08,7.88366666666667E-11
33,17,4.83986E-08,3.22657333333333E-10,1.549775E-08,1.03318333333333E-10
34,17,6.60431E-08,4.4028733333333307E-10,1.85564E-08,1.23709333333333E-10
35,17,8.55114E-08,5.70076E-10,2.150795E-08,1.43386333333333E-10
36,17,1.0905899999999998E-07,7.2706000000000007E-10,2.59478E-08,1.72985333333333E-10
37,17,1.3740699999999998E-07,9.1604666666666594E-10,3.198E-08,2.1320000000000002E-10
38,17,1.7301899999999997E-07,1.15346E-09,3.7236500000000004E-08,2.4824333333333305E-10
39,17,2.1187999999999996E-07,1.4125333333333303E-09,4.1939E-08,2.79593333333333E-10
40,17,2.56897E-07,1.71264666666667E-09,4.5017E-08,3.0011333333333305E-10
-10,21,3.1537E-10,2.10246666666667E-12,-2.472E-11,-1.64800000000001E-13
-9,21,2.9064999999999997E-10,1.9376666666666698E-12,-2.1299999999999997E-11,-1.42E-13
-8,21,2.7277000000000003E-10,1.81846666666667E-12,-2E-11,-1.33333333333333E-13
-7,21,2.5065E-10,1.671E-12,-2.0414999999999998E-11,-1.361E-13
-6,21,2.3194E-10,1.54626666666667E-12,-1.746E-11,-1.164E-13
-5,21,2.1573000000000004E-10,1.4381999999999999E-12,-1.3429999999999999E-11,-8.95333333333333E-14
-4,21,2.0508000000000003E-10,1.3671999999999999E-12,-1.1094999999999998E-11,-7.39666666666668E-14
-3,21,1.9354E-10,1.29026666666667E-12,-7.11500000000001E-12,-4.74333333333334E-14
-2,21,1.9085000000000002E-10,1.2723333333333299E-12,-1.0304999999999999E-11,-6.87E-14
-1,21,1.7293000000000002E-10,1.1528666666666701E-12,-1.0969999999999999E-11,-7.31333333333332E-14
0,21,1.6891000000000001E-10,1.12606666666667E-12,-8.63000000000001E-12,-5.75333333333333E-14
1,21,1.5567E-10,1.0378E-12,-8.87500000000001E-12,-5.91666666666667E-14
2,21,1.5116E-10,1.00773333333333E-12,-7.98E-12,-5.32E-14
3,21,1.3971E-10,9.314E-13,-1.2424999999999999E-11,-8.28333333333334E-14
4,21,1.2631E-10,8.4206666666666693E-13,-1.101E-11,-7.34E-14
5,21,1.1769E-10,7.846E-13,-7.64999999999999E-12,-5.0999999999999896E-14
6,21,1.1101000000000001E-10,7.40066666666667E-13,-9.32500000000001E-12,-6.21666666666667E-14
7,21,9.9039999999999988E-11,6.60266666666666E-13,-5.5025E-11,-3.66833333333333E-13
8,21,9.6E-13,6.4000000000000007E-15,-1.084E-11,-7.22666666666667E-14
9,21,7.7359999999999992E-11,5.15733333333333E-13,2.9344999999999997E-11,1.95633333333333E-13
10,21,5.965E-11,3.9766666666666703E-13,-1.7565E-11,-1.171E-13
11,21,4.223E-11,2.81533333333333E-13,-1.199E-11,-7.99333333333333E-14
12,21,3.567E-11,2.378E-13,-1.704E-11,-1.1359999999999999E-13
13,21,8.15E-12,5.43333333333333E-14,-2.2595E-11,-1.50633333333333E-13
14,21,-9.52E-12,-6.34666666666667E-14,-1.1055E-11,-7.37E-14
15,21,-1.3959999999999998E-11,-9.30666666666666E-14,-2.7999999999999997E-13,-1.86666666666666E-15
16,21,-1.0079999999999999E-11,-6.72E-14,-8.60000000000002E-13,-5.73333333333334E-15
